Eyes Status,Eye Ratio
Fit Eye,0.8164047064144181
Fit Eye,0
Fit Eye,0.6620448040237911
Fit Eye,48.75531393296727
Eye close,0.5603026338047431
Eye close,0.3711410889323432
Eye close,11.620631270600633
Eye close,14.148821085757964
Eye close,0.6619178841121742
Eye close,0.6714750779656428
Eye close,38.69201323100916
Eye close,0
Eye close,1.076023793910472
Eye close,1.7677669529663689
Fit Eye,16.288753095441447
Eye close,0.7084920746310281
Eye close,0.36723851083935316
Eye close,0.9844674844885719
Eye close,1.2655478960524151
Eye close,9.915763251852285
Eye close,2.6644273638694416
Fit Eye,3.655791380109026
Eye close,1.4856342993387792
Eye close,0.5382937078524501
Eye close,0
Eye close,2.0551336407281653
Eye close,0.6884562367625122
Eye close,3.4153860406945267
Eye close,1.0143358231325932
Eye close,1.0789996678810336
Eye close,1.046108823808933
Eye close,0
Eye close,1.3145990641597833
Eye close,0
Eye close,1.0857800349316744
Eye close,0
Eye close,0.6497633770350109
Eye close,0
Fit Eye,12.945751810716116
Eye close,1.821333285624932
Eye close,0
Eye close,1.5220300201590435
Eye close,10.326040047269666
Eye close,0.6320521145960704
Eye close,0.9641619139174114
Eye close,18.899742922341247
Eye close,0.9701656534845414
Eye close,1.0203763142417706
Eye close,0.8871484000736719
Eye close,1.5886367736243787
Fit Eye,4.407135323956662
Eye close,1.0943143627011014
Eye close,1.0784951273658967
Eye close,0.9055111559372427
Eye close,0.8924114261820649
Eye close,1.123393533608329
Eye close,1.254827330483166
Eye close,0.881285592934089
Eye close,1.0792981450902668
Fit Eye,1.4438672875890408
Fit Eye,1.1869130031532273
Eye close,1.0236878069656372
Eye close,0.8072717794918498
Eye close,6.601110363070587
Eye close,7.598596195056796
Eye close,0.8656958452556305
Eye close,0.7370085274414943
Eye close,1.0209021400746365
Eye close,0
Eye close,0
Eye close,0.9896815105057885
Fit Eye,2.6129934257193144
Eye close,1.0986208054580473
Eye close,1.1281068506351615
Eye close,0.6075775989281538
Eye close,0.86810098313376
Fit Eye,0.9243329558864641
Fit Eye,0.9535992757317215
Fit Eye,1.0380166129503587
Eye close,0.9562092638232252
Fit Eye,9.695348740175024
Eye close,0.9758169624129919
Fit Eye,11.134868870777769
Eye close,0.9157302421806391
Eye close,1.0309077454763225
Eye close,0.47154379211955166
Eye close,14.851710418226482
Fit Eye,20.740966131168197
Eye close,0.283123094226392
Eye close,0.7958127591820007
Eye close,0.8503183281278632
Eye close,18.14197398639686
Eye close,0.8383578853371049
Eye close,1.4867290802778426
Eye close,1.0153436079729845
Eye close,0
Eye close,1.1179304830888
Eye close,0.8864179053873626
Eye close,0
Eye close,0
Eye close,13.897963120397188
Eye close,0
Eye close,0.866798932598244
Eye close,0
Eye close,0.653227757691945
Eye close,0
Eye close,0.7972655575577315
Eye close,0.8650495424198026
Eye close,0
Eye close,7.661881863157672
Eye close,0
Fit Eye,8.606284941600537
Fit Eye,0
Fit Eye,54.67581036134998
Fit Eye,0
Eye close,0.803903921149718
Eye close,0
Eye close,0.8774388187225011
Eye close,0
Eye close,0.9826117287314583
Eye close,0
Eye close,0.8440152614872029
Eye close,0
Eye close,18.991447646270707
Eye close,0
Fit Eye,27.766982253459677
Fit Eye,0
Fit Eye,14.217689608314366
Fit Eye,0
Eye close,0.8027160891003801
Eye close,0
Eye close,0.8800189501664948
Eye close,0
Eye close,0.803682923714061
Eye close,0.905905640370381
Eye close,0
Eye close,1.1551144224526304
Eye close,0
Fit Eye,1.0898408538346762
Fit Eye,0
Fit Eye,7.656447906055002
Eye close,2.7125412414916594
Eye close,1.1885037732549655
Eye close,0.9950368025123133
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Eye close,0
Fit Eye,0.9960059519039361
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,0
Fit Eye,1.0124637736374622
Fit Eye,0
Fit Eye,1.0010255058124595
Fit Eye,0
Fit Eye,0.9417432759007477
Fit Eye,0.9911138064341712
Fit Eye,1.0030643481698904
Fit Eye,0.9876174777950542
Fit Eye,7.416809112060765
Fit Eye,29.111769161179215
Eye close,0.8650990491819079
Fit Eye,8.077474553375025
Eye close,128.00553205880956
Fit Eye,22.28691966441783
Eye close,0.7031474851173701
Fit Eye,69.00573280413604
Fit Eye,60.398063314247324
Eye close,0.6914841733877332
Eye close,0.9035399832967863
Eye close,84.1574738308004
Eye close,0.9379336149385836
Eye close,1.2054582641750249
Eye close,0.8369077729995245
Eye close,1.1715907578840665
Eye close,29.124166951734665
Eye close,0.9793743919538647
Eye close,1.7535872142353017
Eye close,2.5634753785636804
Eye close,4.344495137871497
Eye close,0.9949915684457172
Eye close,0
Eye close,4.7655706248311205
Eye close,5.603912741070698
Eye close,0
Eye close,1.1084655622359678
Eye close,1.2408599281284443
Eye close,1.1973399766025539
Eye close,0.8365773007308633
Eye close,0.7690814728904385
Eye close,0.8456139849695282
Eye close,1.5204004877624204
Eye close,1.3885103010851028
Eye close,1.2157687879821573
